video_id,title,date,duration,duration_hms,num_comments,num_accounts,cps,num_members0,num_members1,num_members2,num_members3,num_members4,num_members5,num_members6
h3SsOFzXX2g,【雑談】２０２０最後の雑談【にじさんじ/愛園愛美】,2020-12-31,4165,1h 9m 25s,1188,225,0.285234093637455,178,1,1,4,6,35,0
5YiUDcYjWj0,【#マリカにじさんじ杯】本戦Dリーグ～皆と見たい景色がある！【愛園愛美】,2020-12-26,2387,0h 39m 47s,880,195,0.3686635944700461,153,2,0,3,7,30,0
EKr-6Ly3x7c,【ゼノギアス】#5 XではじまってSで終わる点ではX&#39;masもXenogearsも一緒【にじさんじ/愛園愛美】,2020-12-24,19907,5h 31m 47s,2534,294,0.1272919073692671,270,1,0,2,2,19,0
eQKgpNImnZs,【マリオカート8DX】苦手なコースをなるべく選ぶレート【にじさんじ/愛園愛美】,2020-12-23,3701,1h 1m 41s,398,107,0.1075385031072683,93,0,0,0,4,10,0
ipq9eo3n6y0,【ゼノギアス】#4 リッコと同じ墓に入りたい。バトリング決勝～【にじさんじ/愛園愛美】,2020-12-22,19868,5h 31m 8s,3806,345,0.19156432454197705,320,2,0,1,4,18,0
zvhCpcRSSb0,【Among Us】#宇宙の酒 宇宙で飲む酒は鉄の味がするなぁ【にじさんじ/愛園愛美】,2020-12-21,10355,2h 52m 35s,1238,156,0.11955577015934331,123,0,1,3,3,26,0
TrtWXPeIvmU,【#マリカにじさんじ杯】Eリーグ予選！不運とキノコを味方につけて【にじさんじ/愛園愛美】,2020-12-19,4891,1h 21m 31s,2405,429,0.49171948476794114,378,3,1,6,8,33,0
T0LrSZttG90,【マリオカート8DX】居眠り運転【にじさんじ/愛園愛美】,2020-12-19,7028,1h 57m 8s,564,100,0.08025042686397268,74,0,0,2,4,20,0
WLls-_7JWX0,【ゼノギアス】#3 やーい！閣下のパンツ！ブーメラン！！【にじさんじ/愛園愛美】,2020-12-14,22529,6h 15m 29s,7276,429,0.32296151626792136,393,3,1,0,5,27,0
Vmmjd3zGkMc,【みんなのリズム天国】#3 ここにもまんじゅうが2つあるじゃろ？【にじさんじ/愛園愛美】,2020-12-11,5395,1h 29m 55s,837,185,0.1551436515291937,168,2,0,1,5,9,0
_yJvoksxq3s,【ゼノギアス】#2 深夜にまったりゼノギアス【にじさんじ/愛園愛美】,2020-12-09,32699,9h 4m 59s,10758,504,0.3290008868772745,461,4,1,0,6,32,0
fYkIFxThlWc,【ゼノギアス】新世代サイバネティックRPGを眠くなるまで攻略【にじさんじ/愛園愛美】,2020-12-08,28033,7h 47m 13s,10636,509,0.379409981093711,465,1,0,1,11,31,0
wiZVt1u41_8,【原神】鍾離せんせに貢ぐガチャ【にじさんじ/愛園愛美】,2020-12-07,7950,2h 12m 30s,3749,449,0.47157232704402513,401,1,1,0,12,34,0
bqB6PMnSzkM,【雀魂-じゃんたま-】伊東ライフママから学ぶ、ゼロから始める麻雀教室！【#伊東家の親子丼】,2020-12-02,7228,2h 0m 28s,6046,549,0.8364692861095738,512,2,0,0,9,26,0
titCMAao5wA,【Until Dawn】シナリオ良ゲー！もう同じ過ちは繰り返さない【にじさんじ/愛園愛美】,2020-12-01,8415,2h 20m 15s,2653,169,0.3152703505644682,136,1,0,0,9,23,0
