channel_title,subscriber_count,num_streams,sum_durations_s,sum_durations_hms,sum_comments,sum_accounts,cps,mean_accounts,stdev_comments,stdev_accounts,mean_members0,mean_members1,mean_members2,mean_members3,mean_members4,mean_members5,mean_members6
月ノ美兎,681000,14,106406,29h 33m 26s,204921,31120,1.9258406480837547,2222.8571428571427,11338.368992588305,799.9633508088747,100.0,0.0,0.0,0.0,0.0,0.0,0.0
勇気ちひろ,374000,35,721288,200h 21m 28s,369792,45384,0.5126828673151362,1296.6857142857143,4755.557506572634,514.3394262334467,78.2646462687312,4.175497101223709,2.2668985565627513,6.0329655697317035,5.316158987398145,2.2935489546479464,1.6502845617045492
エルフのえる _ にじさんじ所属,186000,27,351155,97h 32m 35s,62805,10696,0.17885264341957255,396.14814814814815,1693.3520996335444,258.62115204464675,81.980384581914,1.8094332190321145,0.8591764788916456,4.133101136960911,2.395049588387194,8.822854994814136,0.0
樋口楓【にじさんじ所属】,376000,25,241298,67h 1m 38s,155146,19674,0.6429643014032441,786.96,8030.020447670106,835.2132202817036,64.02351017605726,1.3725563782407368,1.2906706793943954,2.1489062157371888,17.199932815330577,13.96442373523984,0.0
Shizuka Rin Official,314000,23,481190,133h 39m 50s,105226,8137,0.21867869240840415,353.7826086956522,2783.427032181419,156.0116419087601,62.4754446967148,1.2804059905916652,1.3714295105825505,0.991175638777186,10.568869479850779,5.816093548168811,17.4965811353142
渋谷ハジメのはじめ支部,118000,28,347878,96h 37m 58s,49769,7248,0.14306452261999897,258.85714285714283,2286.3074787889177,357.007284320924,83.99104007213028,1.6347844603481398,0.9346610827513248,3.9563479037630183,6.903008904777576,1.889960868181896,0.6901967080477718
鈴谷アキの陽だまりの庭,106000,24,118850,33h 0m 50s,98561,6467,0.8292890197728229,269.4583333333333,1782.5906033237052,50.72258665625649,49.14179774078252,3.6580568442532315,2.7872833211214694,4.572514424281305,10.007549262104515,29.832798407456963,0.0
《にじさんじ所属の女神》モイラ,114000,8,60304,16h 45m 4s,23002,2552,0.3814340673918811,319.0,1299.9004082730996,95.96427906853079,100.0,0.0,0.0,0.0,0.0,0.0,0.0
鈴鹿詩子 Utako Suzuka,402000,7,51050,14h 10m 50s,36205,5190,0.7092066601371204,741.4285714285714,3961.470367955625,463.6697305708224,80.649186394804,0.8841357973827013,0.85035428510616,2.854185920443032,4.453308627865914,10.308828974398185,0.0
宇志海いちご,145000,17,159839,44h 23m 59s,40281,4471,0.25200983489636447,263.0,1044.097344458783,121.40376847528252,71.06529813395717,3.2399103418918376,1.811650409732352,3.3269739288547577,15.615524711359623,3.757823323904771,1.1828191502994894
家長むぎ【にじさんじ所属】,144000,9,36684,10h 11m 24s,13200,2343,0.3598298985933922,260.3333333333333,978.5724296136694,118.37018205612425,57.5440365289044,2.3837935837380537,3.813668937251507,3.6566367656788614,7.264839066390136,25.337025118037047,0.0
Yuhi Riri Official,156000,21,227071,63h 4m 31s,82992,9001,0.36548920822121717,428.6190476190476,2015.069403271262,166.46245107845678,68.3470095438088,2.19297715667851,1.982745804820889,5.713798130767418,6.721925798215582,15.041543565708812,0.0
♥️♠️物述有栖♦️♣️,221000,7,56672,15h 44m 32s,21705,2343,0.38299336533032186,334.7142857142857,1141.689495774532,93.20893069821561,54.78899964174901,1.6900724908793208,3.5951615321399033,5.881118970935284,13.459088810342962,10.709970566887835,9.875587987065684
文野環【にじさんじの野良猫】ふみのたまき,231000,13,47501,13h 11m 41s,84768,15843,1.7845519041704385,1218.6923076923076,3914.3096568543974,580.8386730431816,100.0,0.0,0.0,0.0,0.0,0.0,0.0
伏見ガク【にじさんじ所属】,111000,18,94199,26h 9m 59s,62373,7956,0.6621407870571875,442.0,1622.538361732664,124.84201781357392,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilzaren III Season 2,79200,1,13202,3h 40m 2s,19360,2777,1.4664444781093773,2777.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
剣持刀也,276000,11,46437,12h 53m 57s,76164,23078,1.6401576329220233,2098.0,7261.96795641512,1512.8146614836862,100.0,0.0,0.0,0.0,0.0,0.0,0.0
森中花咲,197000,6,79713,22h 8m 33s,42037,5006,0.5273543838520693,834.3333333333334,8392.064618832881,791.249307529976,75.4993183983701,1.1840222883502018,0.87787433672283,1.6522027498457155,5.7531559025640995,15.033426324147053,0.0
Kanae Channel,535000,24,277083,76h 58m 3s,253228,46429,0.913906663346362,1934.5416666666667,7428.647250409357,837.8476036153937,67.06582300137312,6.51511391735043,4.126370748532737,8.741747298746482,7.711552187600167,4.784957910601323,1.0544349357957492
赤羽葉子ちゃんねる,129000,7,29712,8h 15m 12s,7158,1849,0.24091276252019386,264.14285714285717,601.2655700389685,149.4516962895019,100.0,0.0,0.0,0.0,0.0,0.0,0.0
笹木咲 _ Sasaki Saku,517000,10,43660,12h 7m 40s,83110,14719,1.9035730645900137,1471.9,4143.74186776477,424.55007557020485,75.09797248217542,1.2539711280000596,1.1167218844581093,4.252395405117735,8.622933630645617,9.656005469603054,0.0
本間ひまわり - Himawari Honma -,580000,15,143041,39h 44m 1s,200643,22955,1.4026957305947245,1530.3333333333333,6599.037799991321,733.959873043544,78.01835410815237,0.951084582076039,0.9555959495530689,2.5777430751784514,7.726527560922036,9.246193265589637,0.5245014585283975
魔界ノりりむ,188000,23,269717,74h 55m 17s,194621,21783,0.7215748358464613,947.0869565217391,4849.909989385199,1069.942263227468,84.31705915631383,2.3869390366740895,0.8389324955946466,1.7208641561597253,4.549031540800921,5.775772409757236,0.411401204699556
